year,title,issn,id,doi,url_publicacion,conc_ciencia,titulo,abstract,tipo_fuente,autores,sjr_materia,fuente,,,,,,,,,Total articulos 2000-2024: 754
1966,Hallazgos Antropológicos de la Cueva del Aer,,958615,,,,Hallazgos antropológicos de la Cueva del Aer,,['Revista'],1|J.M. García Caraves; 2|A. Begines,,,,,,,,,,,
1966,Köln Radiocarbon Measurements I,0033-8222,960359,10.1017/s003382220000014x,,,Köln Radiocarbon Measurements I,"After publication of the occurrence of C 14 in nature and the first successful datings made by the radiocarbon method (Anderson et al. , 1947; Arnold and Libby, 1949), a fair number of physicists as well as geologists, paleobotanists, and prehistorians in Germany became interested (e.g., Harteck, 1951; Zeuner, 1951; Firbas, 1953; Schwabedissen, 1949) in studying the applicability of the new method. So, one of us (H.S.) together with F. Firbas tried to stimulate plans by F. Houtermans (later at Bern, Switzerland) to organize a dating laboratory at Göttingen, before 1950. When the Heidelberg laboratory was founded, close contact was kept with O. Haxel and K. O. Münnich by providing them with carefully selected samples covering a variety of prehistoric ages (partly published in Heidelberg I). Samples were also submitted to Washington, D. C. (see USGS III, I, II), Yale (see Yale III), and Copenhagen (unpub.).",['Revista'],1|H. Schwabedissen; 2|J. Freundlich,,Radiocarbon,,,,,,,,,
1966,Los materiales encontrados en la Cueva de Son Muleta,,960075,,,,Los materiales encontrados en la cueva de Son Muleta,,['Revista'],1|William H. Waldren,,Bolletí de la Societat D'història Natural de Les Balears,,,,,,,,,
1967,"Cuevas Sepulcrales de Lechón, Arralday, Calaveras y Gobaederra (Álava)",0425-3507,959949,,,,"Cuevas sepulcrales de Lechón, Arralday, Calaveras y Gobaederra (Álava)",,['Revista'],1|Juan María Apellániz Castroviejo; 2|Armando Llanos Ortiz de Landaluze; 3|Jaime Fariña,,Estudios de Arqueología Alavesa,,,,,,,,,
1967,Groningen Radiocarbon Dates VII,0033-8222,958822,10.1017/s0033822200000497,,,Groningen Radiocarbon Dates VII,In late 1962 the old radiocarbon laboratory in Groningen was demolished and new dating equipment was erected in an underground cellar specially built for the purpose.,['Revista'],1|J. C. Vogel; 2|H. T. Waterbolk,,Radiocarbon,,,,,,,,,
1967,Mallorca chronology for Prehistory based on radiocarbon method,,958818,,,,Mallorca Chronology for Prehistory based on Radiocarbon Method,"Radiocarbon 14 method has been recently applied in an attempt to formulate a framework for a chronological timetable of absolute dates from the Balearic island of Mallorca. Materials have been syste­matically collected since 1958 from a score or more archaeological sta­tions throughout the island, stations of different relative chonology varying geographic situation. The results of this series of carbon ana­lysis constitutes the first such structure dedicate to the use of this technique. They are of particular interest in that the results span a time eIement of over six miHeniums between 5,000 B. C. and 1,000 A. D. The structure is composed of dates on materials from natural caves, artificial caves and various megalithic Talayotic monuments. In order to enlarge the latitude of the series, the tests have been carried out on paleontological and anthropological specimens as well as on charcoaI. The value of such a systematic and scientific effort is not in the test results, themselves, but in the knowledge they offer to all the affi­liated sciences. When viewed along general lines, the carbon 14 read­ings do not alter many of the findings made by more traditional means, but contrary, support many of the deductions obtained through the rela­tive chronology set down by the first scientific investigators. Their in­terest lies in their giving us a clearer picture of geo-paleo-anthropo­archaeological happenings in the Baleares during archaic times. They are also of special interest· in the information that they supply concern­ing the initial phase of prehistory known, here, as the pretalayotic epoch. The plan behind the chronological framework is designed as a possible tool, applicable to a comparative study of materials from ar­chaeological stations already excavated as well as those under exca­vation. Another aim of its structure is an investigation into the possible extent and limits of the various periods in Mallorca prehistory.",['Revista'],1|William H. Waldren; 2|J. S. Kopper,,Pyrenae: Revista de Prehistòria I Antiguitat de la Mediterrània Occidental,,,,,,,,,
1968,Die Dolmen von Carapito,0418-9744,960135,,,,Die Dolmen von Carapito,,['Revista'],1|Vera Leisner; 2|Leonel Ribeiro,,Mitteilungen Des Deutschen Archaologischen Instituts. Abteilung Madrid,,,,,,,,,
1968,Isotopes Radiocarbon Measurements VI,0033-8222,959615,10.1017/s0033822200010900,,,Isotopes' Radiocarbon Measurements VI,"This list presents dates on a portion of the samples measured at ISOTOPES since publication of Isotopes V, and for previously analyzed samples for which complete sample data are now available. Samples were analyzed by gas proportional counting of carbon dioxide at 3 atm pressure in counters of 1 1. volume. Each sample was assayed twice, in different counters and on different days. Procedures employed in sample preparation and age calculations have been described previously (Isotopes V).",['Revista'],1|James D. Buckley; 2|Milton A. Trautman; 3|Eric H. Willis,,Radiocarbon,,,,,,,,,
1968,"La Datación por el C-14 de las Cuevas de Gobaederra y Los Husos I, en Álava (dentro del Conjunto de Dataciones por este Método de Yacimientos del País Vasco)",0425-3507,958573,,,,La datación por el C 14 de las cuevas de Gobaederra y los husos I en Álava: (dentro del conjunto de dataciones por este método de yacimientos del País Vasco),,['Revista'],1|Juan María Apellániz Castroviejo,,Estudios de Arqueología Alavesa,,,,,,,,,
1968,Toscanos und Trayamar,0418-9744,960157,,,,Toscanos und Trayamar,,['Revista'],1|Hans Georg Niemeyer; 2|Hermanfrid Schubart,,Mitteilungen Des Deutschen Archaologischen Instituts. Abteilung Madrid,,,,,,,,,
